seed,outer_fold,inner_fold,stage,model_id,prior_type,candidate_id,cache_key,lambda_fc,lambda_sc,lambda_l,gamma,lifting,n_inner_train,n_inner_val,inner_train_indices_hash,inner_val_indices_hash,scaler_fc_mean_hash,scaler_sc_mean_hash,pearson,rmse,mae
0,0,0,B,A2_fc_laplacian,matched,02354ae29e14b2e4,matched|g=0|lift=prod,100.0,1.0,5.0,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2937508679898111,5.047886964756931,4.379706618242497
0,0,1,B,A2_fc_laplacian,matched,02354ae29e14b2e4,matched|g=0|lift=prod,100.0,1.0,5.0,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.35634730495334854,4.8428202722013935,4.151653003774033
0,0,2,B,A2_fc_laplacian,matched,02354ae29e14b2e4,matched|g=0|lift=prod,100.0,1.0,5.0,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2420473586630087,4.535639499024044,3.810220427895
0,0,0,B,A2_fc_laplacian,matched,3e4f10bffecc959d,matched|g=0|lift=prod,100.0,1.0,1.0,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.29376275562795084,5.047869497246696,4.379685545433761
0,0,1,B,A2_fc_laplacian,matched,3e4f10bffecc959d,matched|g=0|lift=prod,100.0,1.0,1.0,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.35636327345672136,4.842806411756452,4.151661578534041
0,0,2,B,A2_fc_laplacian,matched,3e4f10bffecc959d,matched|g=0|lift=prod,100.0,1.0,1.0,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.24204883061089555,4.535634948197575,3.810225746953233
0,0,0,B,A2_fc_laplacian,matched,8c394df4fedfc387,matched|g=0|lift=prod,100.0,1.0,0.5,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.29376430732057823,5.04786721691003,4.379682793784022
0,0,1,B,A2_fc_laplacian,matched,8c394df4fedfc387,matched|g=0|lift=prod,100.0,1.0,0.5,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.3563653586898329,4.84280460141354,4.151662697415042
0,0,2,B,A2_fc_laplacian,matched,8c394df4fedfc387,matched|g=0|lift=prod,100.0,1.0,0.5,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.24204902200409648,4.5356343549060725,3.8102264426481716
0,0,0,B,A2_fc_laplacian,matched,9744d2ae41f7f52c,matched|g=0|lift=prod,100.0,1.0,0.03,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2937657798933776,5.04786505278335,4.379680182228907
