model_id,prior_type,evaluation_type,seed,pearson,rmse,mae,n_folds
A3_msancr,random,fixed_prior_swap,1,0.27897072538818685,11.186520219283045,9.124318002677546,5
A3_msancr,random,fixed_prior_swap,2,0.28494607492240365,11.690689758694964,9.415143576888457,5
A3_msancr,random,fixed_prior_swap,3,0.23615933889124033,11.413337230944625,9.379709987894824,5
A3_msancr,random,fixed_prior_swap,4,0.21947952557038866,11.859815265496625,9.778156556092307,5
A3_msancr,random,fixed_prior_swap,5,0.23930104713623165,11.63405083078168,9.337570150670237,5
A3_msancr,random,fixed_prior_swap,6,0.222606918786341,11.77295619121948,9.632409996813031,5
A3_msancr,random,fixed_prior_swap,7,0.2506585858654594,11.87435216339152,9.617395986881517,5
A3_msancr,random,fixed_prior_swap,8,0.2841779967248724,11.365898231296805,9.313720862163686,5
A3_msancr,random,fixed_prior_swap,9,0.2734397112086818,11.540440137512388,9.215763488198414,5
A3_msancr,shuffled,fixed_prior_swap,0,0.21576891175532822,12.046384441211362,9.814653156306603,5
A3_msancr,shuffled,fixed_prior_swap,1,0.27041961652111396,11.238449246287761,9.120214289481865,5
A3_msancr,shuffled,fixed_prior_swap,2,0.3036406324233786,11.50139932880851,9.236288439047193,5
A3_msancr,shuffled,fixed_prior_swap,3,0.22860090334087882,11.477197580268614,9.43536571474265,5
A3_msancr,shuffled,fixed_prior_swap,4,0.21869599832815645,11.84706363979684,9.696517946810452,5
A3_msancr,shuffled,fixed_prior_swap,5,0.2406707413800046,11.562548896898871,9.27736365032609,5
A3_msancr,shuffled,fixed_prior_swap,6,0.2081660803133933,11.844519718875834,9.631586255788756,5
A3_msancr,shuffled,fixed_prior_swap,7,0.21653118289202422,11.958077138013575,9.735513527213069,5
A3_msancr,shuffled,fixed_prior_swap,8,0.27726532429400413,11.343521374548194,9.24202501764788,5
A3_msancr,shuffled,fixed_prior_swap,9,0.2596604719637679,11.617841934615834,9.23162396353566,5
A3_msancr,unrelated,fixed_prior_swap,0,0.20318641954292316,12.131585674837876,9.910598763530421,5
A3_msancr,unrelated,fixed_prior_swap,1,0.2757553817462791,11.197014794229341,9.128619629070817,5
A3_msancr,unrelated,fixed_prior_swap,2,0.281440701545291,11.70031038726618,9.498822626305245,5
A3_msancr,unrelated,fixed_prior_swap,3,0.22152327494447888,11.536662411870878,9.4648941271083,5
A3_msancr,unrelated,fixed_prior_swap,4,0.21055445792441135,11.87594138171268,9.766926511000818,5
A3_msancr,unrelated,fixed_prior_swap,5,0.24119268765938,11.599525616829498,9.362367722726258,5
A3_msancr,unrelated,fixed_prior_swap,6,0.20565731979736562,11.878576653478394,9.709532713886373,5
A3_msancr,unrelated,fixed_prior_swap,7,0.21968795922814052,11.953616010540467,9.624727458505514,5
A3_msancr,unrelated,fixed_prior_swap,8,0.28653770622983876,11.330329362035638,9.317404119832116,5
A3_msancr,unrelated,fixed_prior_swap,9,0.2739385546474458,11.490085065065424,9.148730339186233,5
A4_iso_same_solver,uniform,retuned_base,0,0.22662594217320362,11.242527842876282,9.272272968991036,5
A4_iso_same_solver,uniform,retuned_base,1,0.22248483755553342,11.43426693720279,9.348994332010069,5
A4_iso_same_solver,uniform,retuned_base,2,0.2520766433821402,11.238690677055164,9.212321859249887,5
A4_iso_same_solver,uniform,retuned_base,3,0.2867619239315496,11.098596256576728,9.078141704662425,5
A4_iso_same_solver,uniform,retuned_base,4,0.24298880993115776,11.164713074371573,9.148888039373274,5
A4_iso_same_solver,uniform,retuned_base,5,0.17703957095327771,11.697827730250541,9.443670540329142,5
