seed,outer_fold,inner_fold,stage,model_id,prior_type,candidate_id,cache_key,lambda_fc,lambda_sc,lambda_l,gamma,lifting,n_inner_train,n_inner_val,inner_train_indices_hash,inner_val_indices_hash,scaler_fc_mean_hash,scaler_sc_mean_hash,pearson,rmse,mae
0,0,0,B,A2_fc_laplacian,matched,33ec5f2c5dd0b468,matched|g=0|lift=prod,0.001,0.1,5.0,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.249901906852931,13.425921646186648,10.913010150930027
0,0,1,B,A2_fc_laplacian,matched,33ec5f2c5dd0b468,matched|g=0|lift=prod,0.001,0.1,5.0,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2669041674589576,12.837302913816357,10.441671177979643
0,0,2,B,A2_fc_laplacian,matched,33ec5f2c5dd0b468,matched|g=0|lift=prod,0.001,0.1,5.0,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2928977564868588,11.683424527324794,9.652877989671522
0,0,0,B,A2_fc_laplacian,matched,8e4e08216fae02d5,matched|g=0|lift=prod,0.001,0.1,0.5,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.25042650929230453,13.420602243024213,10.909830255823167
0,0,1,B,A2_fc_laplacian,matched,8e4e08216fae02d5,matched|g=0|lift=prod,0.001,0.1,0.5,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.26961892061030923,12.820379621971782,10.429978398997616
0,0,2,B,A2_fc_laplacian,matched,8e4e08216fae02d5,matched|g=0|lift=prod,0.001,0.1,0.5,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2933651302747604,11.667885422500772,9.635594401872076
0,0,0,B,A2_fc_laplacian,matched,9285a24a36b21771,matched|g=0|lift=prod,0.001,0.1,0.1,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2520510097576717,13.404330268377944,10.899949465073401
0,0,1,B,A2_fc_laplacian,matched,9285a24a36b21771,matched|g=0|lift=prod,0.001,0.1,0.1,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2775859622725974,12.774585004535108,10.392663064227687
0,0,2,B,A2_fc_laplacian,matched,9285a24a36b21771,matched|g=0|lift=prod,0.001,0.1,0.1,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2946863447147191,11.62515270660242,9.584007305937513
0,0,0,B,A2_fc_laplacian,matched,93b6fa2c9ad53e3c,matched|g=0|lift=prod,0.001,0.1,0.03,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2544171813273779,13.381139541107569,10.88629371916049
