experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard,alignment_node_pearson,alignment_node_spearman,alignment_node_topk_jaccard,alignment_module_pearson,alignment_module_spearman,alignment_module_topk_jaccard,alignment_edge_diagonal_pearson,alignment_edge_diagonal_spearman,alignment_edge_diagonal_topk_jaccard
E0,baseline,none,none,2,0,seed02_fold00,279,50,83,20,4.703803539276123,43.59612321853638,16.82078853046595,4.928535674452275,False,0.2949170172214508,4.732911109924316,3.8994996547698975,0.3023565709590912,0.3051473284048012,0.1764705882352941,0.4710479974746704,0.4761904761904762,0.5,0.313285231590271,0.3051473284048012,0.1764705882352941,,,,,,,,,
E0,baseline,none,none,2,1,seed02_fold01,279,50,83,25,4.58310079574585,50.23444747924805,16.85663082437276,4.911498188445885,False,0.1670101135969162,4.990635871887207,4.27290678024292,0.1555106192827224,0.2017701934832048,0.25,0.4803115427494049,0.4285714285714286,0.5,0.1751575767993927,0.2017701934832048,0.25,,,,,,,,,
E0,baseline,none,none,2,2,seed02_fold02,280,50,82,14,4.5526041984558105,38.1431405544281,16.985714285714284,4.787611564214031,False,0.0362196862697601,5.375546455383301,4.570481300354004,-0.5218091607093811,-0.5248911599837948,0.0,-0.6624361872673035,-0.4047619047619048,0.0,-0.5170719027519226,-0.5248911599837948,0.0,,,,,,,,,
E0,baseline,none,none,2,3,seed02_fold03,280,50,82,24,4.6138834953308105,51.26844620704651,16.760714285714286,4.97743761428324,False,0.1467640101909637,4.6778974533081055,3.8198275566101074,-0.4566905498504638,-0.4875405516708179,0.0,-0.6036843657493591,-0.523809523809524,0.0,-0.4474474489688873,-0.4875405516708179,0.0,,,,,,,,,
E0,baseline,none,none,2,4,seed02_fold04,280,50,82,18,4.940377235412598,44.15110063552856,16.892857142857142,4.926164008306533,False,0.2141539454460144,4.755959510803223,3.972401380538941,-0.5503752827644348,-0.5516193931287408,0.0,-0.6300315260887146,-0.6666666666666669,0.0,-0.5436661839485168,-0.5516193931287408,0.0,,,,,,,,,
E0,baseline,none,none,3,0,seed03_fold00,279,50,83,7,5.0906901359558105,35.194764375686646,16.863799283154123,4.829280604484002,False,0.2915295660495758,5.0250749588012695,4.345481395721436,-0.2782334983348846,-0.2755724785011445,0.0,-0.2178397476673126,-0.2857142857142857,0.2,-0.2583599090576172,-0.2755724785011445,0.0,,,,,,,,,
E0,baseline,none,none,3,1,seed03_fold01,279,50,83,46,4.468737602233887,77.8868772983551,16.878136200716845,4.925923173060801,False,0.0375128090381622,5.163676261901856,4.13503360748291,-0.488847017288208,-0.4997660215398067,0.0,-0.5385509729385376,-0.5476190476190477,0.0,-0.4828102886676788,-0.4997660215398067,0.0,,,,,,,,,
E0,baseline,none,none,3,2,seed03_fold02,280,50,82,15,4.693967342376709,43.00988507270813,16.92142857142857,4.903450471924056,False,0.1814559549093246,4.909735202789307,4.148852825164795,-0.4373884797096252,-0.5150129004246199,0.0,-0.5577013492584229,-0.6904761904761906,0.0,-0.4423433542251587,-0.5150129004246199,0.0,,,,,,,,,
E0,baseline,none,none,3,3,seed03_fold03,280,50,82,13,5.150803089141846,38.12635040283203,16.939285714285713,4.768935137631752,False,0.3478781580924988,5.007774829864502,4.271925449371338,-0.3957589566707611,-0.3921239555446332,0.0,-0.4634363055229187,-0.4047619047619048,0.0,-0.3912407457828522,-0.3921239555446332,0.0,,,,,,,,,
E0,baseline,none,none,3,4,seed03_fold04,280,50,82,17,4.591518402099609,43.283742904663086,16.742857142857144,5.023333310762925,False,0.130509003996849,4.506502151489258,3.801302909851074,-0.295329213142395,-0.313257689134882,0.0,-0.3779082596302032,-0.3571428571428572,0.2,-0.2893955111503601,-0.313257689134882,0.0,,,,,,,,,
E0,baseline,none,none,4,0,seed04_fold00,279,50,83,40,4.420705795288086,69.6518144607544,16.767025089605735,4.9404542587220295,False,0.1023247241973877,5.287150859832764,4.414124011993408,-0.637712836265564,-0.6289275114179348,0.0,-0.8032796382904053,-0.6666666666666669,0.0,-0.6418341398239136,-0.6289275114179348,0.0,,,,,,,,,
E0,baseline,none,none,4,1,seed04_fold01,279,50,83,35,4.561329364776611,63.015570878982544,16.835125448028673,4.921759079786406,False,0.2912200689315796,4.564162254333496,3.730741262435913,-0.5140053033828735,-0.4977284432283085,0.0,-0.6190962195396423,-0.6190476190476191,0.0,-0.5156025290489197,-0.4977284432283085,0.0,,,,,,,,,
E0,baseline,none,none,4,2,seed04_fold02,280,50,82,20,4.260239601135254,43.09557485580444,16.78214285714286,4.843888164586422,False,0.1619378924369812,5.204911708831787,4.289405822753906,-0.4847676753997803,-0.4506094447749142,0.0,-0.5957608222961426,-0.5714285714285715,0.0,-0.477475494146347,-0.4506094447749142,0.0,,,,,,,,,
E0,baseline,none,none,4,3,seed04_fold03,280,50,82,11,4.8498711585998535,33.143845558166504,16.989285714285714,4.849509495499392,False,0.1883410066366195,5.001279830932617,4.085809707641602,-0.3736571967601776,-0.3972878182262241,0.0,-0.443820595741272,-0.380952380952381,0.0,-0.3729589283466339,-0.3972878182262241,0.0,,,,,,,,,
E0,baseline,none,none,4,4,seed04_fold04,280,50,82,29,4.697969913482666,54.08859944343567,16.90714285714286,4.945988892269066,False,0.1324963569641113,4.764509201049805,3.765755653381348,-0.5303822159767151,-0.5212255166488936,0.0,-0.6271259784698486,-0.6428571428571429,0.0,-0.5334193110466003,-0.5212255166488936,0.0,,,,,,,,,
E0,baseline,none,none,5,0,seed05_fold00,279,50,83,15,4.874679088592529,38.695189476013184,16.97132616487455,4.901089999941164,False,0.2087298780679702,4.66298246383667,3.8146369457244873,0.1363322436809539,0.109604733339337,0.1764705882352941,0.0984884649515152,0.1904761904761905,0.5,0.1536016911268234,0.109604733339337,0.1764705882352941,,,,,,,,,
E0,baseline,none,none,5,1,seed05_fold01,279,50,83,26,4.88585090637207,52.30029678344727,16.74910394265233,4.846917239231855,False,0.3069198429584503,4.78572416305542,4.173275947570801,-0.4499837160110473,-0.4356921741463727,0.0,-0.4812989234924316,-0.5000000000000001,0.0,-0.4432527124881744,-0.4356921741463727,0.0,,,,,,,,,
E0,baseline,none,none,5,2,seed05_fold02,280,50,82,17,4.997313022613525,43.199522733688354,17.05,4.881927312620937,False,0.0690932795405387,4.97780704498291,4.034787178039551,-0.4701507985591888,-0.4608572651062725,0.0,-0.5790632367134094,-0.5476190476190477,0.0,-0.4632321000099182,-0.4608572651062725,0.0,,,,,,,,,
