experiment_id,seed,fold,condition,repeat,pearson,rmse,mae
M3_E0,0,0,random,0,0.3470658625441461,4.8485519429585535,4.014305875375631
M3_E0,0,0,random,1,0.3731484403248899,4.781855123193331,4.033990129126914
M3_E0,0,0,random,2,0.3925021797815102,4.75075788876752,4.085433189401022
M3_E0,0,0,random,3,0.3161642520907028,5.22909947069367,4.559750358134084
M3_E0,0,0,random,4,0.3251431795473882,4.8799443354198,4.223260317942097
M3_E0,0,0,random,5,0.3126520733739196,5.530495928601882,4.801899419555873
M3_E0,0,0,random,6,0.3453363119980179,4.887863693264859,4.216216762141667
M3_E0,0,0,random,7,0.3115027009449664,5.615984802854755,4.837593071923104
M3_E0,0,0,random,8,0.3936242719977504,6.307611969681082,5.41851841171125
M3_E0,0,0,random,9,0.3927550982303441,4.964844270758425,4.303319104140259
M3_E0,0,0,random,10,0.3337869128962548,5.650891728214452,4.859009339660723
M3_E0,0,0,random,11,0.3132866981241523,5.060921741388963,4.1008537872351205
M3_E0,0,0,random,12,0.3412209761462295,4.787936314773674,4.03812343337385
M3_E0,0,0,random,13,0.3189872200534848,5.308960614908232,4.6299103521029386
M3_E0,0,0,random,14,0.3380722503216042,4.930169195432963,4.302979345014368
M3_E0,0,0,random,15,0.390625135288605,5.836530660080832,5.038029490435783
M3_E0,0,0,random,16,0.3092260668032544,5.055354990763715,4.406728129519555
M3_E0,0,0,random,17,0.3622202667244211,4.988017137519062,3.998423260095871
M3_E0,0,0,random,18,0.3860168616176992,4.989033963043622,3.9833517003237096
M3_E0,0,0,random,19,0.343156903880746,4.9923099923814265,4.364754937399046
M3_E0,0,0,top,-1,0.3404404882486271,6.401432473725051,5.487056537506528
M3_E0,0,0,bottom,-1,0.357668969207746,4.865822390296826,4.199535839507903
M3_E0,0,0,reference_prior_top,-1,0.3494007198798389,5.372611087340285,4.671260948817974
M3_E0,0,1,random,0,0.3474508821902805,5.082990212621233,4.222172089898694
M3_E0,0,1,random,1,0.4030638734217231,5.084336928241859,4.224263696416661
M3_E0,0,1,random,2,0.2270803791571078,5.066872243140016,4.223776745530152
M3_E0,0,1,random,3,0.3536917888952343,5.084405939708451,4.225617430667594
M3_E0,0,1,random,4,0.277993009246041,5.085060649667872,4.225871706249307
